channelId,title,publishedAt,viewCount,subscriberCount,hiddenSubscriberCount,videoCount,buzz_count,buzz_flag
UCDMifKvJ8SgNTkfHenpc3Wg,八雲れん,2022-02-15T05:48:35Z,5992682,14200,FALSE,637,0,0
UCeil9itBhrT7b1J3EylPdyA,M4LZEL Ch / メルツェル,2012-12-09T13:00:24Z,1438,75,FALSE,46,0,0
UC6PJ5D0dI_FgTjuSwYwUK-g,蛇蝎 Channel ｰDakatsu_Half Real-,2014-07-07T16:04:12Z,97675,355,FALSE,153,0,0
UCJWMbEeXcBbpFpH5iRSIupA,来幸える,2023-07-16T15:36:04Z,17603,174,FALSE,174,0,0
UC2qm85KxNGsi-a6PxiLBNsQ,月神悠莉-つきかみゆうり　大天災のカオスな趣味ch,2022-03-13T23:08:12Z,6977,126,FALSE,86,0,0
UCtQuYUnvFJt7VUF6iNN8X6A,鋼 雅仁 / Hagane Masahito,2018-02-24T05:50:07Z,39733,878,FALSE,59,0,0
UCL30cxyo5E8lk_iOK-aZYOg,コウ / The Devils kou,2023-05-20T14:10:52Z,1905,29,FALSE,53,0,0
UCs4_iv21f7Qi6Abldk9wi0w,ちぃ,2019-06-29T14:37:56Z,620536,2060,FALSE,783,2,1
UCoAAEbqKDnRKt3n9bJZzJ4Q,雛守 戀(Hinamori Ren),2023-10-31T15:33:20Z,2768,11,FALSE,54,1,1
UC3jC1ep40tUfLSsN0i2zQKg,DJTM Gaming room,2021-03-20T10:16:49Z,143861,1310,FALSE,907,0,0
UCbDKvz9IxQFJy-uEUbM1drA,優尾 あみい(yuuo_amii),2021-03-31T15:46:50Z,444015,1850,FALSE,832,0,0
UCzNxwn7mqTICtEKB_iiDvCw,RIN is jp,2012-10-10T09:03:11Z,44695,530,FALSE,226,0,0
UCpQ5hjdOAdtUHvKpjqqQiFQ,ちるた,2022-01-17T08:12:06Z,40757,261,FALSE,359,2,1
UCKXntUX67tD06pBnB5eCpKw,さっとんだよ,2021-04-01T01:40:03Z,283622,1260,FALSE,157,4,1
UCJao1WGqtPvHwbzUBX4kK-A,"zer0零,🕛(ゼロ)",2012-09-27T12:56:14Z,8856,136,FALSE,28,0,0
UCPH9l0djaaSSGK_oaL3pZdA,野良マオ / noramao,2014-08-18T10:36:49Z,59938,250,FALSE,213,0,0
UCEqMTXfxDXg92qxq1dmzWQw,ラナ・グリーン / Lana Green,2021-08-07T13:27:06Z,77928,1090,FALSE,455,0,0
UCLgKyQNqFy8zZYviLgikvaQ,陽未音ななみ 73 Ch,2020-12-28T09:02:55Z,49088,114,FALSE,121,0,0
UCcdcxHO11d4ZNyu2Ph_OQFg,ただちゃん,2017-11-14T12:55:23Z,78635,10000,FALSE,132,0,0
UC7D4heQdNoSzh6nC3i3b6yA,みけしゅ,2013-10-12T06:33:36Z,298099,1030,FALSE,265,7,1
UCmb-VJHhQdNA--cvBr-v-Tg,たまき のら / Tamaki Nora ch,2017-02-19T06:49:46Z,19223,195,FALSE,217,0,0
UCK71Xa8yBHllg1yUhD0v6Iw,たーにゃん🍶🐾,2013-08-21T09:48:42Z,85700,943,FALSE,728,0,0
UCrxtv0Zc8uQNfsY0HsAGY8g,天硝路ろまん【StellArt.】,2023-11-18T17:00:38Z,636263,8040,FALSE,224,0,0
UCNUOpIQPzaiZcyMxxjHllEg,優璃乃せいな,2018-06-20T05:40:49Z,12387,267,FALSE,119,0,0
UC6cgUcRa_gGsjqq3Kp6B68w,鹿鳴りあ🦌👼,2023-01-24T08:55:17Z,150361,8060,FALSE,234,0,0
UCe2xF5TKhTmoUZBMSA58e9Q,ベルゼブチャンネル,2016-04-07T20:50:55Z,35597,267,FALSE,469,0,0
UCkfblgpiz_bvBZ46-NejrbQ,よろづ萩葉の万葉ちゃんねる,2018-11-11T15:05:36Z,932662,4700,FALSE,397,0,0
UCsAoyzNVhYYWoQpWjtDAGpw,東和正 / AzumaKazumasa,2017-04-17T12:28:46Z,1598578,3260,FALSE,364,0,0
UCoE2SdHT1Bk7oRXD4QHKWqQ,神咲カゲロウ,2018-09-28T12:28:20Z,29153,293,FALSE,611,0,0
UCiTYm5Mg3h4lHVYK-sjpz9g,若生マユミ / Wakou Mayumi,2020-11-08T23:12:12Z,71343,556,FALSE,447,0,0
UCJ3Gyorp84R-82cc3HdOeGw,空毬せんろんch,2012-11-14T06:30:51Z,1058130,3370,FALSE,2496,0,0
UCjt-U6psz7ZieiKfeoVFoLg,蒼鳥ふぃり,2011-06-22T09:41:46Z,1063,24,FALSE,103,0,0
UCzr3kECI7BK88MadYQXbsJQ,Plague _Xeno,2017-06-18T07:56:37Z,44836,345,FALSE,304,0,0
UCVB16vOi24WElLNbbmOFFsA,【れべるいち】犬野はる,2013-04-06T09:32:11Z,1155424,7140,FALSE,1332,0,0
UC6Zb58SYs25mnbTtR4ZAr9A,弦弓こめ /七転び八起き系Vtuber,2021-03-22T01:48:25Z,320760,3380,FALSE,752,4,1
UC6kg7LjrHxfJCXLCaPBZ_Rw,"矩継凜 /Rin Kutsugi, Ph.D.",2020-08-08T13:41:24Z,401614,15800,FALSE,594,0,0
UCmmLvLHm-LoPn-pFjWs6-kg,恋兎ひめる,2021-11-22T18:00:39Z,58375,3150,FALSE,158,0,0
UCaZbExFHmYuWFtknHHJZtGw,ハダカデバネズミTV,2020-02-05T10:16:14Z,211872,1590,FALSE,931,0,0
UCrrLuumWcTACnvXPYvF6wLA,とぅるちゃんねる,2019-07-12T20:35:28Z,129980,807,FALSE,1157,0,0
UCpWRZ4mFeZ6PXc2zsaL_nIw,酉居とさか / TOSAKA-Ch.,2021-04-13T07:32:47Z,172429,2300,FALSE,353,0,0
UCcxrqK_bERO9gwkueh19Ptg,鳴滝ひお / Narutaki Hio,2020-08-23T05:26:58Z,48858,576,FALSE,462,0,0
UCWZtINQCjhbrS3FsfB31i4Q,きいろちゃんねる,2018-07-23T04:18:38Z,5521,2410,FALSE,13,0,0
UC2iBNNh1MgVMuXZdMpH7jkA,桜広場【七桜のゲームちゃんねる】,2021-09-05T14:58:26Z,78676,563,FALSE,479,0,0
UC3ETsn9cTinBPwW-vUMT7aA,火治樹マグロ / Kajiki Maguro,2021-11-24T05:18:20Z,102586,543,FALSE,191,5,1
UCgbVwE75qZoBii_RSE9wYaA,小鳥遊波音🔯🎮ゲーム大好きVtuber,2022-11-01T18:59:54Z,38159,584,FALSE,488,0,0
UCUkoEapl3ezn5ICiZv7W9Dw,亜玲々 れみch. Arere Remi,2023-01-25T07:22:31Z,103308,1100,FALSE,383,0,0
UCvhuGVnLT8NxZGqm2BLomTQ,勇者シオン,2023-12-13T17:51:39Z,623826,302,FALSE,396,0,0
UCK41Tq3Uu4hklm4KBGsIZMA,カイロセラ@ゆるふわミステリアス系VTuber,2023-08-27T14:28:56Z,23538,127,FALSE,209,0,0
UC-VQ4u7loIAH8SiAPTRGHzg,Vieus - Adventurer VTuber,2021-05-15T21:25:13Z,175405,1060,FALSE,184,0,0
UCCKGN4STNqloesAfxW0aaqA,ドンちゃんEX / セルフ受肉Vtuber,2021-11-12T12:58:31Z,16322,122,FALSE,157,0,0
UCCSH9YX2Va_S5B0G42lR9uQ,nate 🌌🎤 Vtuber,2017-02-26T21:21:00Z,1503035,2220,FALSE,410,0,0
UCKJ2IW1X2k80Ux1PH-4EAoA,流川澪-mio-,2022-11-14T12:05:36Z,26946,264,FALSE,72,0,0
